"","sp","edge","hmin","hmax"
"1",3,3,0.127843659515554,0.127843659515554
"2",3,3,0.137781445374945,0.137781445374945
"3",12,12,0.00165867281405349,0.00165867281405349
"4",13,13,0.0976548723903422,0.0976548723903422
"5",15,15,0.103036801900597,0.103036801900597
"6",20,20,0.0624054417655347,0.0624054417655347
"7",37,37,0.365771037020249,0.365771037020249
"8",41,41,0.864961866755583,0.864961866755583
"9",47,47,1.73536054574715,1.73536054574715
"10",77,77,1.86884348411802,1.86884348411802
"11",79,79,2.03973352935633,2.03973352935633
"12",82,82,1.40097026458669,1.40097026458669
"13",85,85,0.859201108754915,0.859201108754915
"14",105,105,0.153340188320668,0.153340188320668
"15",105,105,0.124935385459139,0.124935385459139
"16",108,108,0.469327624773673,0.469327624773673
"17",114,114,0.332037507607824,0.332037507607824
"18",137,137,0.949961085539086,0.949961085539086
"19",139,139,0.590780092923642,0.590780092923642
"20",143,143,0.701803865921077,0.701803865921077
"21",143,143,0.797755205699947,0.797755205699947
"22",145,145,0.277662805629633,0.277662805629633
