"","sp","edge","hmin","hmax"
"1",4,4,0.0830131248337031,0.0830131248337031
"2",8,8,0.0179690750059264,0.0179690750059264
"3",11,11,0.214024867886159,0.214024867886159
"4",11,11,0.0995976659352248,0.0995976659352248
"5",11,11,0.513518220414128,0.513518220414128
"6",31,31,0.397546919709551,0.397546919709551
"7",31,31,0.563653801860955,0.563653801860955
"8",35,35,0.616366075830228,0.616366075830228
"9",39,39,1.38672922097577,1.38672922097577
"10",39,39,0.93506310772433,0.93506310772433
"11",71,71,1.46158909878559,1.46158909878559
"12",72,72,1.41211144436427,1.41211144436427
"13",73,73,1.12623176580767,1.12623176580767
"14",76,76,0.302912734972905,0.302912734972905
"15",85,85,1.38431204085877,1.38431204085877
"16",85,85,1.23624405223544,1.23624405223544
"17",100,100,0.126563211093148,0.126563211093148
"18",107,107,1.34519011193947,1.34519011193947
"19",109,109,1.10100414443769,1.10100414443769
"20",111,111,1.56829983388338,1.56829983388338
"21",111,111,1.49753625976372,1.49753625976372
"22",113,113,0.465631232268675,0.465631232268675
"23",127,127,0.0879071777126066,0.0879071777126066
"24",128,128,0.00518794501014418,0.00518794501014418
