"","sp","edge","hmin","hmax"
"1",12,12,0.0197135319032741,0.0197135319032741
"2",13,13,0.0669393836344695,0.0669393836344695
"3",14,14,0.0743946054876076,0.0743946054876076
"4",32,32,0.30512506402484,0.30512506402484
"5",38,38,0.899892986729928,0.899892986729928
"6",39,39,1.22902700046761,1.22902700046761
"7",63,63,1.37402300052207,1.37402300052207
"8",68,68,0.806806489527789,0.806806489527789
"9",70,70,0.50704915054903,0.50704915054903
"10",70,70,0.430943694726281,0.430943694726281
"11",81,81,0.922381228566242,0.922381228566242
"12",81,81,0.600797591039917,0.600797591039917
"13",84,84,0.136976430880727,0.136976430880727
"14",85,85,1.561090355447,1.561090355447
"15",87,87,0.913182424058045,0.913182424058045
"16",88,88,0.212002093678502,0.212002093678502
"17",94,94,0.736619520325513,0.736619520325513
"18",109,109,0.340355836461093,0.340355836461093
"19",110,110,0.266042484861833,0.266042484861833
