"","sp","edge","hmin","hmax"
"1",8,8,0.192956765973303,0.192956765973303
"2",10,10,0.0440447821812072,0.0440447821812072
"3",10,10,0.0983923622175673,0.0983923622175673
"4",22,22,0.0752639042223667,0.0752639042223667
"5",22,22,0.0332066962821472,0.0332066962821472
"6",25,25,0.0467934135618451,0.0467934135618451
"7",43,43,0.895387231334606,0.895387231334606
"8",46,46,0.842496494964147,0.842496494964147
"9",51,51,1.61434684984063,1.61434684984063
"10",61,61,2.13201058905939,2.13201058905939
"11",108,108,2.44046007434172,2.44046007434172
"12",108,108,2.33911839479782,2.33911839479782
"13",108,108,2.24608658447512,2.24608658447512
"14",111,111,2.55622313004215,2.55622313004215
"15",111,111,2.55502953306884,2.55502953306884
"16",115,115,1.45620136604636,1.45620136604636
"17",116,116,1.28701532113795,1.28701532113795
"18",120,120,0.495698114111968,0.495698114111968
"19",123,123,0.398881834716458,0.398881834716458
"20",130,130,0.218589010075288,0.218589010075288
"21",134,134,0.460525440894535,0.460525440894535
"22",157,157,2.07537567309722,2.07537567309722
"23",162,162,1.61953741887967,1.61953741887967
"24",165,165,1.29491341014625,1.29491341014625
"25",166,166,1.04456465709773,1.04456465709773
"26",168,168,0.597977515563962,0.597977515563962
"27",170,170,0.285203741163877,0.285203741163877
"28",170,170,0.113391836556897,0.113391836556897
"29",171,171,1.26424181017201,1.26424181017201
"30",171,171,1.23379082022023,1.23379082022023
"31",177,177,0.753236592609475,0.753236592609475
"32",185,185,0.103866525626268,0.103866525626268
"33",189,189,0.318476993210076,0.318476993210076
