"","sp","edge","hmin","hmax"
"1",2,2,0.0052855024873974,0.0052855024873974
"2",6,6,0.0668040772056977,0.0668040772056977
"3",15,15,0.065569245843369,0.065569245843369
"4",15,15,0.0124970680561633,0.0124970680561633
"5",19,19,0.0784646045374142,0.0784646045374142
"6",22,22,0.0301835629391022,0.0301835629391022
"7",23,23,0.0335465808276162,0.0335465808276162
"8",23,23,0.0629754712333317,0.0629754712333317
"9",27,27,0.139932555294435,0.139932555294435
"10",39,39,0.354766402110193,0.354766402110193
"11",50,50,0.58827744887511,0.58827744887511
