"","sp","edge","hmin","hmax"
"1",1,1,0.015076636292278,0.015076636292278
"2",11,11,0.0663802260406564,0.0663802260406564
"3",42,42,0.614548847911101,0.614548847911101
"4",42,42,0.49718855001467,0.49718855001467
"5",44,44,0.354758732754773,0.354758732754773
"6",46,46,0.250592307624248,0.250592307624248
"7",51,51,0.0653782261286725,0.0653782261286725
"8",54,54,0.184857361566296,0.184857361566296
"9",55,55,0.0870810926382625,0.0870810926382625
"10",55,55,0.0971298373122547,0.0971298373122547
"11",58,58,0.165404997709062,0.165404997709062
"12",65,65,0.285653332518108,0.285653332518108
"13",73,73,0.0588199569420316,0.0588199569420316
