"","sp","edge","hmin","hmax"
"1",2,2,0.0327570367276608,0.0327570367276608
"2",5,5,0.0143761385858291,0.0143761385858291
"3",10,10,0.115075659275265,0.115075659275265
"4",13,13,0.0289721558924839,0.0289721558924839
"5",19,19,0.145023578652151,0.145023578652151
"6",22,22,0.183715339231651,0.183715339231651
"7",23,23,0.140607121173139,0.140607121173139
"8",38,38,0.357414252822828,0.357414252822828
"9",63,63,1.09481202155307,1.09481202155307
"10",64,64,0.368200924968816,0.368200924968816
"11",68,68,0.512364973846934,0.512364973846934
"12",68,68,0.519824389012246,0.519824389012246
"13",70,70,0.123818035885972,0.123818035885972
"14",73,73,0.0504392208990283,0.0504392208990283
"15",75,75,0.648675836967153,0.648675836967153
"16",75,75,0.554539499853643,0.554539499853643
"17",77,77,0.140534600818116,0.140534600818116
"18",79,79,0.492391948325976,0.492391948325976
"19",86,86,0.0857032151980062,0.0857032151980062
"20",89,89,0.114995529746488,0.114995529746488
"21",91,91,1.05930398533771,1.05930398533771
"22",92,92,0.946109331202764,0.946109331202764
"23",96,96,0.160799955309891,0.160799955309891
"24",98,98,0.147819951865174,0.147819951865174
"25",107,107,0.339099990825926,0.339099990825926
