"","sp","edge","hmin","hmax"
"1",3,3,0.0445894882977434,0.0445894882977434
"2",4,4,0.086422889658056,0.086422889658056
"3",5,5,0.111414600565346,0.111414600565346
"4",5,5,0.186848927470685,0.186848927470685
"5",8,8,0.0148746724333766,0.0148746724333766
"6",10,10,0.045406375306018,0.045406375306018
"7",23,23,0.0720793812328066,0.0720793812328066
"8",40,40,1.16577024950078,1.16577024950078
"9",41,41,0.636732307520639,0.636732307520639
"10",50,50,0.0147020153628751,0.0147020153628751
"11",63,63,0.471121934746923,0.471121934746923
"12",65,65,0.34000978996438,0.34000978996438
"13",65,65,0.349825759170448,0.349825759170448
"14",73,73,0.189582700938582,0.189582700938582
"15",76,76,0.250719729630746,0.250719729630746
"16",76,76,0.182477850211457,0.182477850211457
