"","sp","edge","hmin","hmax"
"1",10,10,0.0082174906144276,0.0082174906144276
"2",10,10,0.0264400444963413,0.0264400444963413
"3",16,16,0.0181834596520434,0.0181834596520434
"4",21,21,0.0555500584195239,0.0555500584195239
"5",32,32,0.683523090087535,0.683523090087535
"6",43,43,0.408537817238207,0.408537817238207
"7",44,44,0.275182737997385,0.275182737997385
"8",54,54,0.0964333592959175,0.0964333592959175
"9",64,64,0.392613749480386,0.392613749480386
"10",66,66,0.301264428245042,0.301264428245042
