Mu,lamda,tree_num
0,0,0
10,1,84,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,85,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,86,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,87,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,88,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,89,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,90,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,91,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,92,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,93,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,94,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,95,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,96,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,97,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,98,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,99,There was an error while analysing your Nexus file
ntips,mu,tree_num,SA_num
10,1,100,There was an error while analysing your Nexus file
10,2,1,There was an error while analysing your Nexus file
10,2,2,There was an error while analysing your Nexus file
10,2,3,There was an error while analysing your Nexus file
10,2,4,There was an error while analysing your Nexus file
10,2,5,There was an error while analysing your Nexus file
10,2,6,There was an error while analysing your Nexus file
10,2,7,There was an error while analysing your Nexus file
10,2,8,There was an error while analysing your Nexus file
10,2,9,There was an error while analysing your Nexus file
10,2,10,There was an error while analysing your Nexus file
10,2,11,There was an error while analysing your Nexus file
10,2,12,There was an error while analysing your Nexus file
10,2,13,There was an error while analysing your Nexus file
10,2,14,There was an error while analysing your Nexus file
10,2,15,There was an error while analysing your Nexus file
10,2,16,There was an error while analysing your Nexus file
10,2,17,There was an error while analysing your Nexus file
10,2,18,There was an error while analysing your Nexus file
10,2,19,There was an error while analysing your Nexus file
10,2,20,There was an error while analysing your Nexus file
10,2,21,There was an error while analysing your Nexus file
10,2,22,There was an error while analysing your Nexus file
10,2,23,There was an error while analysing your Nexus file
10,2,24,There was an error while analysing your Nexus file
10,2,25,There was an error while analysing your Nexus file
10,2,26,There was an error while analysing your Nexus file
10,2,27,There was an error while analysing your Nexus file
10,2,28,There was an error while analysing your Nexus file
10,2,29,There was an error while analysing your Nexus file
10,2,30,There was an error while analysing your Nexus file
10,2,31,There was an error while analysing your Nexus file
10,2,32,There was an error while analysing your Nexus file
10,2,33,There was an error while analysing your Nexus file
10,2,34,There was an error while analysing your Nexus file
10,2,35,There was an error while analysing your Nexus file
10,2,36,There was an error while analysing your Nexus file
10,2,37,There was an error while analysing your Nexus file
10,2,38,There was an error while analysing your Nexus file
10,2,39,There was an error while analysing your Nexus file
10,2,40,There was an error while analysing your Nexus file
10,2,41,There was an error while analysing your Nexus file
10,2,42,There was an error while analysing your Nexus file
10,2,43,There was an error while analysing your Nexus file
10,2,44,There was an error while analysing your Nexus file
10,2,45,There was an error while analysing your Nexus file
10,2,46,There was an error while analysing your Nexus file
10,2,47,There was an error while analysing your Nexus file
10,2,48,There was an error while analysing your Nexus file
10,2,49,There was an error while analysing your Nexus file
10,2,50,There was an error while analysing your Nexus file
10,2,51,There was an error while analysing your Nexus file
10,2,52,There was an error while analysing your Nexus file
10,2,53,There was an error while analysing your Nexus file
10,2,54,There was an error while analysing your Nexus file
10,2,55,There was an error while analysing your Nexus file
10,2,56,There was an error while analysing your Nexus file
10,2,57,There was an error while analysing your Nexus file
10,2,58,There was an error while analysing your Nexus file
10,2,59,There was an error while analysing your Nexus file
10,2,60,There was an error while analysing your Nexus file
10,2,61,There was an error while analysing your Nexus file
10,2,62,There was an error while analysing your Nexus file
10,2,63,There was an error while analysing your Nexus file
10,2,64,There was an error while analysing your Nexus file
10,2,65,There was an error while analysing your Nexus file
10,2,66,There was an error while analysing your Nexus file
10,2,67,There was an error while analysing your Nexus file
10,2,68,There was an error while analysing your Nexus file
10,2,69,There was an error while analysing your Nexus file
10,2,70,There was an error while analysing your Nexus file
10,2,71,There was an error while analysing your Nexus file
10,2,72,There was an error while analysing your Nexus file
10,2,73,There was an error while analysing your Nexus file
10,2,74,There was an error while analysing your Nexus file
10,2,75,There was an error while analysing your Nexus file
10,2,76,There was an error while analysing your Nexus file
10,2,77,There was an error while analysing your Nexus file
10,2,78,There was an error while analysing your Nexus file
10,2,79,There was an error while analysing your Nexus file
10,2,80,There was an error while analysing your Nexus file
10,2,81,There was an error while analysing your Nexus file
10,2,82,There was an error while analysing your Nexus file
10,2,83,There was an error while analysing your Nexus file
10,2,84,There was an error while analysing your Nexus file
