"","sp","edge","hmin","hmax"
"1",1,1,0.0725898677591577,0.0725898677591577
"2",6,6,0.338928021754761,0.338928021754761
"3",6,6,0.498585644585799,0.498585644585799
"4",6,6,0.0124140230912363,0.0124140230912363
"5",9,9,0.136268682367066,0.136268682367066
"6",9,9,0.0197540979395359,0.0197540979395359
"7",14,14,0.0406870979477749,0.0406870979477749
"8",24,24,0.050411093726186,0.050411093726186
"9",24,24,0.0433306275033735,0.0433306275033735
"10",24,24,0.0423736406716403,0.0423736406716403
"11",41,41,0.461713846300267,0.461713846300267
"12",44,44,0.705633301096605,0.705633301096605
"13",60,60,1.53604022327691,1.53604022327691
"14",61,61,1.12987319658846,1.12987319658846
"15",62,62,1.0810144600829,1.0810144600829
"16",72,72,0.0657474339793866,0.0657474339793866
"17",78,78,1.12330761723386,1.12330761723386
"18",79,79,0.766306543557678,0.766306543557678
"19",80,80,0.546293226956093,0.546293226956093
"20",88,88,0.0852171992411576,0.0852171992411576
"21",90,90,0.136494499320043,0.136494499320043
"22",91,91,0.672733222367893,0.672733222367893
"23",92,92,0.450031170521938,0.450031170521938
"24",93,93,0.885660405919473,0.885660405919473
"25",93,93,0.693191793506991,0.693191793506991
"26",110,110,0.298811283525549,0.298811283525549
"27",117,117,0.174896894045191,0.174896894045191
