"","sp","edge","hmin","hmax"
"1",2,2,0.0358009832324338,0.0358009832324338
"2",7,7,0.0214307351013956,0.0214307351013956
"3",12,12,0.160349204853648,0.160349204853648
"4",19,19,0.0581663936364132,0.0581663936364132
"5",46,46,1.23483931115455,1.23483931115455
"6",47,47,0.96067091056976,0.96067091056976
"7",47,47,0.937713001880225,0.937713001880225
"8",48,48,0.931326549991093,0.931326549991093
"9",49,49,0.717138098541826,0.717138098541826
"10",57,57,0.110046604677531,0.110046604677531
"11",60,60,0.218108038718294,0.218108038718294
"12",73,73,0.821599803267632,0.821599803267632
"13",73,73,0.470397635812789,0.470397635812789
"14",77,77,0.536302118710902,0.536302118710902
"15",77,77,0.400630784177823,0.400630784177823
"16",77,77,0.491839687420755,0.491839687420755
"17",82,82,0.176643189836621,0.176643189836621
