"","sp","edge","hmin","hmax"
"1",2,2,0.0500082203065835,0.0500082203065835
"2",3,3,0.143047946742896,0.143047946742896
"3",9,9,0.0916191271584062,0.0916191271584062
"4",9,9,0.0190025441162956,0.0190025441162956
"5",22,22,0.340660448966638,0.340660448966638
"6",22,22,0.0717687359603616,0.0717687359603616
"7",22,22,0.250477095841113,0.250477095841113
"8",22,22,0.152989277186596,0.152989277186596
"9",31,31,0.133789702409961,0.133789702409961
"10",31,31,0.14071299529979,0.14071299529979
"11",33,33,0.484413688744682,0.484413688744682
"12",33,33,0.573810805913876,0.573810805913876
"13",36,36,0.782358264179646,0.782358264179646
"14",54,54,0.729791006164906,0.729791006164906
"15",55,55,0.479544481682023,0.479544481682023
"16",56,56,0.0545606197263098,0.0545606197263098
"17",56,56,0.189561745300835,0.189561745300835
"18",60,60,0.779432261881115,0.779432261881115
"19",63,63,0.411309669972719,0.411309669972719
"20",63,63,0.485992782064562,0.485992782064562
"21",63,63,0.373001695317074,0.373001695317074
"22",66,66,0.566102590270471,0.566102590270471
"23",76,76,0.28287491834238,0.28287491834238
"24",79,79,0.833188570627609,0.833188570627609
"25",80,80,0.548344722897627,0.548344722897627
"26",86,86,0.144940825209135,0.144940825209135
"27",86,86,0.0864967979059553,0.0864967979059553
"28",86,86,0.0948325337257059,0.0948325337257059
"29",90,90,0.692826944790482,0.692826944790482
"30",93,93,0.912449669856515,0.912449669856515
"31",94,94,0.413925104823739,0.413925104823739
"32",94,94,0.579228099548885,0.579228099548885
"33",94,94,0.473804784490838,0.473804784490838
"34",95,95,0.374781859783614,0.374781859783614
