"","sp","edge","hmin","hmax"
"1",3,3,0.115120576836781,0.115120576836781
"2",3,3,0.0438768409131914,0.0438768409131914
"3",6,6,0.010531153116157,0.010531153116157
"4",7,7,0.106868026157783,0.106868026157783
"5",16,16,0.0514622034903325,0.0514622034903325
"6",20,20,0.00174830770434453,0.00174830770434453
"7",30,30,0.792200836296729,0.792200836296729
"8",45,45,1.36927795372612,1.36927795372612
"9",45,45,1.36226501877039,1.36226501877039
"10",47,47,0.953133360505912,0.953133360505912
"11",55,55,1.01907281953747,1.01907281953747
"12",60,60,0.31102830534369,0.31102830534369
"13",63,63,0.256259871881274,0.256259871881274
"14",65,65,0.606658114404982,0.606658114404982
"15",66,66,0.402004897029964,0.402004897029964
"16",67,67,0.256638477622843,0.256638477622843
"17",73,73,0.240437268986672,0.240437268986672
"18",73,73,0.177471932443541,0.177471932443541
"19",77,77,0.266157520681892,0.266157520681892
"20",80,80,1.05702565028326,1.05702565028326
